Name,is_deleted,description,Subcategories,Actions
Activism & Education,,,"Activism,Education,Investing,Marketing Green Home","energy_fair,activism,campaign,local_decision,get_involved,local_govt,sustain_school,carbon_footprint,investing,market_green_home,learn,environmental_stewardship,environmental_justice,activities_for_kids,help_community"
Electricity & Solar,,,"Renewable grid,Solar,Time of use","renewable_elec,community_solar,install_solarPV,solar_assessment,muni_aggregation,opt_up_RE,shave_peak,EV_charger,battery"
Food,,,"Eat local,Grow local,Low carbon diet","low_carbon_diet,eat_locally,grow_local"
Home Energy,,,"Appliances,Audits & assessments,Building envelope,Heating / cooling,Home energy use,Lights / plug load","energy_audit,prog_thermostats,hp_water_heater,coldwater_wash,led_lighting,smart_power_strip,air_source_hp,line_dry,energystar_washer,hw_assessment,heating_assessment,weatherization,electricity_monitor,fridge_pickup,hp_dryer,efficient_fossil,energystar_fridge,ground_source_hp,induction_stove,install_solarHW,solar_oven,coaching,efficient_renovations,windows,savings_for_renters,conserve_electricity,zero_emissions"
Land & Water,,,"Community,Equipment,Light pollution,Water conservation,Yard","electric_mower,reduce_lawn_care,reduce_lawn_size,rake_elec_blower,plant_trees,open_space,light_pollution,reduce_watering,showerheads,rain_barrel,plant_native,conserve_water,community_cleanup"
Transportation,,,"Flights,Vehicles,Alternative transit","replace_car,eliminate_car,offset_flights,reduce_flights,reduce_car_miles,buy_e_bike,people_power,public_transit,reduce_pollution"
Waste & Recycling,,,"Donate,Reduce purchasing,Reuse and recycling","compost,reduce_waste,avoid_purchase,swap_donate,borrow_buy_used,recycling"
